OA21CD,Pop_count
E00000001,26268.7
E00000003,60952.4
E00000005,12873.6
E00000007,1959.2
E00000010,71200.0
E00000013,24900.0
E00000018,5010.1
E00000019,30162.6
E00000020,28985.5
E00000021,2528.9
E00000022,36065.6
E00000023,17213.1
E00000024,1397.6
E00000025,1408.6
E00000028,2811.7
E00000029,1861.5
E00000030,11360.3
E00000031,82777.8
E00000032,47466.7
E00000037,18187.1
E00000038,17844.8
E00000039,17395.3
E00000040,6998.1
E00000041,9373.1
E00000042,12588.2
E00000043,21282.1
E00000045,16458.3
E00000046,17727.3
E00000048,50714.3
E00000049,13300.0
E00000050,29422.0
E00000051,21054.7
E00000052,12401.1
E00000053,17089.6
E00000054,12276.7
E00000055,14935.9
E00000056,3021.9
E00000057,23430.2
E00000059,7590.4
E00000060,10551.2
E00000061,8769.7
E00000063,16557.4
E00000064,11615.1
E00000066,27511.7
E00000067,12491.1
E00000068,20055.2
E00000069,17977.5
E00000070,10888.9
E00000071,11312.1
E00000072,12305.0
E00000073,10933.3
E00000074,11345.5
E00000075,9373.3
E00000076,12727.3
E00000077,11008.9
E00000078,11208.1
E00000079,9572.9
E00000080,4949.2
E00000081,10956.8
E00000082,11993.4
E00000083,10529.6
E00000084,10690.7
E00000085,12653.1
E00000086,12852.0
E00000087,11061.2
E00000088,12534.7
E00000089,7772.6
E00000090,12653.1
E00000091,12617.6
E00000092,1729.6
E00000093,7109.4
E00000094,11171.9
E00000095,10383.1
E00000096,7990.7
E00000097,7934.8
E00000098,11454.5
E00000099,7916.7
E00000100,5760.4
E00000101,10883.2
E00000102,10179.0
E00000103,16224.5
E00000104,8003.4
E00000106,10516.3
E00000107,12030.3
E00000108,8866.5
E00000109,12153.8
E00000110,10364.7
E00000111,10825.0
E00000112,12852.0
E00000113,14497.4
E00000114,11084.0
E00000115,7886.7
E00000116,11153.8
E00000117,9299.6
E00000118,8833.3
E00000119,10085.0
E00000120,12579.6
E00000121,9416.2
E00000122,10326.4
E00000123,11616.2
E00000124,12142.9
E00000125,10933.0
E00000128,12200.0
E00000129,12382.4
E00000130,13673.5
E00000131,10752.4
E00000132,12885.2
E00000133,12965.8
E00000134,13689.0
E00000135,8400.0
E00000136,9534.9
E00000137,12405.8
E00000138,7395.1
E00000139,7974.2
E00000140,6733.0
E00000141,18195.1
E00000142,5488.2
E00000143,7780.2
E00000144,7049.5
E00000145,4893.2
E00000146,9544.0
E00000147,9192.7
E00000148,7720.9
E00000149,11056.1
E00000150,3871.3
E00000151,663.1
E00000152,7247.1
E00000153,4360.9
E00000154,3485.4
E00000155,14711.8
E00000156,386.4
E00000157,8934.6
E00000158,2044.0
E00000159,8936.9
E00000160,4101.1
E00000161,12095.8
E00000162,14454.1
E00000163,10221.8
E00000164,14702.2
E00000165,9767.4
E00000166,8767.8
E00000167,11428.6
E00000168,9941.9
E00000169,7973.0
E00000170,8232.8
E00000171,6371.1
E00000172,9353.4
E00000173,2263.2
E00000174,6581.8
E00000175,4552.1
E00000176,10919.9
E00000177,7589.6
E00000178,12149.3
E00000179,12475.2
E00000180,1083.7
E00000181,7055.9
E00000182,8720.6
E00000183,5472.4
E00000184,8911.4
E00000185,8010.1
E00000186,8777.0
E00000187,8645.8
E00000188,8004.9
E00000189,4831.1
E00000190,7615.2
E00000191,9122.8
E00000192,8083.1
E00000193,12581.8
E00000194,8943.5
E00000195,1250.7
E00000196,10479.2
E00000197,262.1
E00000198,83448.3
E00000199,9423.1
E00000200,13527.3
E00000201,8653.0
E00000202,10231.4
E00000203,13009.4
E00000204,12607.4
E00000205,10440.6
E00000206,10162.9
E00000207,13147.4
E00000208,12373.4
E00000209,11267.1
E00000210,4933.8
E00000211,12018.1
E00000212,7306.1
E00000213,8310.8
E00000214,13357.4
E00000215,8618.9
E00000216,11432.9
E00000217,8348.9
E00000218,10495.4
E00000219,13027.2
E00000220,14457.8
E00000221,11754.4
E00000222,11747.3
E00000223,14150.9
E00000224,10419.2
E00000225,12132.6
E00000226,2239.6
E00000227,5085.0
E00000228,12705.9
E00000229,12377.9
E00000230,11257.0
E00000231,8061.0
E00000232,3540.8
E00000234,8043.1
E00000236,12240.3
E00000237,9899.2
E00000238,32076.9
E00000240,33125.0
E00000243,6698.9
E00000244,3945.4
E00000245,34864.9
E00000246,12307.7
E00000247,13906.3
E00000249,12973.0
E00000251,41313.9
E00000252,14083.0
E00000253,5217.4
E00000255,17359.3
E00000256,11831.0
E00000257,14109.6
E00000258,21735.5
E00000259,15817.3
E00000260,13304.7
E00000261,13564.8
E00000263,11656.8
E00000265,7493.7
E00000266,7215.9
E00000267,11948.5
E00000268,12000.0
E00000269,7379.8
E00000270,13391.0
E00000271,11604.5
E00000272,12662.1
E00000273,13204.6
E00000274,12167.3
E00000275,11088.2
E00000276,5709.8
E00000277,13333.3
E00000278,6034.5
E00000279,9565.2
E00000280,12721.3
E00000282,12230.5
E00000283,12795.7
E00000284,12372.9
E00000285,9648.6
E00000286,12222.2
E00000287,6992.6
E00000288,13827.5
E00000289,8668.5
E00000290,11229.2
E00000291,12677.2
E00000292,12857.1
E00000293,5936.4
E00000294,9795.5
E00000295,5514.3
E00000296,9950.9
E00000297,8823.5
E00000298,9615.4
E00000299,7831.9
E00000300,6781.3
E00000301,6011.0
E00000302,10455.9
E00000303,12125.7
E00000304,13231.7
E00000305,2025.1
E00000306,7058.8
E00000307,8893.9
E00000308,1081.9
E00000309,14285.7
E00000310,12271.6
E00000311,13483.1
E00000312,9476.4
E00000313,10020.7
E00000314,12369.8
E00000315,11307.4
E00000316,8686.4
E00000317,13005.2
E00000318,8259.3
E00000319,9136.9
E00000320,11016.9
E00000321,9120.9
E00000322,8845.2
E00000323,7812.5
E00000324,11260.7
E00000325,6631.0
E00000326,9000.0
E00000327,1021.5
E00000328,24750.0
E00000329,37222.2
E00000330,16352.9
E00000331,10316.3
E00000332,11419.2
E00000333,12637.4
E00000334,10503.6
E00000335,11250.0
E00000336,7290.2
E00000337,6423.4
E00000338,7882.1
E00000340,1782.4
E00000341,5633.2
E00000342,11432.4
E00000343,10413.9
E00000344,8075.6
E00000345,12659.8
E00000346,2634.1
E00000347,9156.1
E00000348,8564.4
E00000349,10525.2
E00000350,6369.9
E00000351,11643.5
E00000353,13708.2
E00000354,14810.4
E00000355,11439.0
E00000356,13415.4
E00000357,13333.3
